game_number,seed_high, seed_low,child_game_number
1,1,63,33
2,30,36,33
3,19,50,34
4,14,52,34
5,23,41,35
6,10,56,35
7,27,38,36
8,7,61,36
9,4,67,37
10,32,35,37
11,20,49,38
12,13,51,38
13,21,46,39
14,12,55,39
15,28,40,40
16,6,60,40
17,2,65,41
18,31,33,41
19,17,47,42
20,15,53,42
21,22,42,43
22,9,58,43
23,25,37,44
24,8,62,44
25,3,64,45
26,29,34,45
27,18,48,46
28,16,54,46
29,24,44,47
30,11,57,47
31,26,39,48
32,5,59,48
33,,,49
34,,,49
35,,,50
36,,,50
37,,,51
38,,,51
39,,,52
40,,,52
41,,,53
42,,,53
43,,,54
44,,,54
45,,,55
46,,,55
47,,,56
48,,,56
49,,,57
50,,,57
51,,,58
52,,,58
53,,,59
54,,,59
55,,,60
56,,,60
57,,,61
58,,,61
59,,,62
60,,,62
61,,,63
62,,,63
63,,,

